engine,vox_per_chunk,num_chunks,time,cpu_count,memory_size,num_vox,avg_mem,mem_useage,model,data_shape
ray,217843,2,68.78411531448364,36,73618763776,435686,11.312945237800257,"[8.292133331298828, 8.862586975097656, 9.381183624267578, 9.457103729248047, 9.546092987060547, 11.157672882080078, 11.26723861694336, 11.273979187011719, 11.285625457763672, 11.292461395263672, 11.300739288330078, 11.307170867919922, 11.314838409423828, 11.320789337158203, 11.326557159423828, 11.337982177734375, 11.345539093017578, 11.351627349853516, 11.358623504638672, 11.365428924560547, 11.371410369873047, 11.381317138671875, 11.386978149414062, 11.394561767578125, 11.40069580078125, 11.406917572021484, 11.412349700927734, 11.418251037597656, 11.423477172851562, 11.429458618164062, 11.43471908569336, 11.439739227294922, 11.44451904296875, 11.450279235839844, 11.455753326416016, 11.460559844970703, 11.465827941894531, 11.47183609008789, 11.476394653320312, 11.480453491210938, 11.485980987548828, 11.491748809814453, 11.49655532836914, 11.502738952636719, 11.50821304321289, 11.512779235839844, 11.517826080322266, 11.523113250732422, 11.528640747070312, 11.533199310302734, 11.53824234008789, 11.542808532714844, 11.547615051269531, 11.552619934082031, 11.557426452636719, 11.562232971191406, 11.566558837890625, 11.571125030517578, 11.575931549072266, 11.580677032470703, 11.585243225097656, 11.699878692626953, 11.885345458984375, 11.912025451660156, 12.02325439453125, 12.164680480957031, 12.249996185302734]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,64.35593223571777,36,73618763776,435686,11.831832587718964,"[10.906597137451172, 11.43045425415039, 11.842052459716797, 11.842052459716797, 11.842266082763672, 11.842735290527344, 11.842735290527344, 11.84341049194336, 11.843891143798828, 11.844345092773438, 11.844551086425781, 11.844551086425781, 11.844791412353516, 11.845245361328125, 11.845245361328125, 11.845478057861328, 11.845691680908203, 11.845691680908203, 11.845691680908203, 11.845691680908203, 11.845684051513672, 11.845684051513672, 11.845684051513672, 11.845924377441406, 11.84616470336914, 11.846637725830078, 11.847339630126953, 11.848033905029297, 11.848033905029297, 11.848033905029297, 11.848499298095703, 11.848499298095703, 11.848724365234375, 11.84896469116211, 11.84896469116211, 11.848957061767578, 11.849197387695312, 11.849678039550781, 11.849918365478516, 11.85015869140625, 11.819629669189453, 11.781391143798828, 11.781391143798828, 11.781871795654297, 11.782112121582031, 11.7821044921875, 11.782585144042969, 11.782585144042969, 11.782825469970703, 11.782825469970703, 11.782817840576172, 11.783058166503906, 11.783058166503906, 11.783058166503906, 11.783500671386719, 11.783493041992188, 11.783710479736328, 11.81960678100586, 12.006580352783203, 11.987136840820312, 11.988822937011719, 12.100574493408203, 12.201030731201172, 12.299564361572266]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,64.81485104560852,36,73618763776,435686,11.824468910694122,"[10.920116424560547, 11.451175689697266, 11.854934692382812, 11.854934692382812, 11.854934692382812, 11.855167388916016, 11.855621337890625, 11.855621337890625, 11.855621337890625, 11.856075286865234, 11.856067657470703, 11.856067657470703, 11.856067657470703, 11.856067657470703, 11.856067657470703, 11.856300354003906, 11.856513977050781, 11.856513977050781, 11.856513977050781, 11.856513977050781, 11.856502532958984, 11.856502532958984, 11.856502532958984, 11.856502532958984, 11.856502532958984, 11.856735229492188, 11.856975555419922, 11.857215881347656, 11.813236236572266, 11.78439712524414, 11.784149169921875, 11.784149169921875, 11.784149169921875, 11.784149169921875, 11.78436279296875, 11.784355163574219, 11.784355163574219, 11.784355163574219, 11.784355163574219, 11.784355163574219, 11.784347534179688, 11.784347534179688, 11.784584045410156, 11.784584045410156, 11.784584045410156, 11.784568786621094, 11.784568786621094, 11.784568786621094, 11.784568786621094, 11.784557342529297, 11.784549713134766, 11.784770965576172, 11.785282135009766, 11.785282135009766, 11.785282135009766, 11.785274505615234, 11.785274505615234, 11.845592498779297, 12.002525329589844, 11.985965728759766, 11.97271728515625, 12.077720642089844, 12.184906005859375, 12.284881591796875]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,64.20314908027649,36,73618763776,435686,11.871353507041931,"[10.927783966064453, 11.451213836669922, 11.862545013427734, 11.862545013427734, 11.862545013427734, 11.862537384033203, 11.863258361816406, 11.863258361816406, 11.863258361816406, 11.86349868774414, 11.86349105834961, 11.863487243652344, 11.863487243652344, 11.863487243652344, 11.863487243652344, 11.863479614257812, 11.863479614257812, 11.863479614257812, 11.863479614257812, 11.863479614257812, 11.863685607910156, 11.863685607910156, 11.86391830444336, 11.86391830444336, 11.864372253417969, 11.864372253417969, 11.864604949951172, 11.864604949951172, 11.864604949951172, 11.864604949951172, 11.865058898925781, 11.86505126953125, 11.86505126953125, 11.86550521850586, 11.86550521850586, 11.865501403808594, 11.865501403808594, 11.865501403808594, 11.865501403808594, 11.865493774414062, 11.865493774414062, 11.865493774414062, 11.865493774414062, 11.865974426269531, 11.865955352783203, 11.865947723388672, 11.866188049316406, 11.866191864013672, 11.866191864013672, 11.866191864013672, 11.866180419921875, 11.866180419921875, 11.866180419921875, 11.866180419921875, 11.866180419921875, 11.866172790527344, 11.866413116455078, 11.874103546142578, 12.013973236083984, 12.032989501953125, 12.074798583984375, 12.17501449584961, 12.277153015136719, 12.38265609741211]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,64.85085272789001,36,73618763776,435686,11.87573128938675,"[11.00320053100586, 11.533279418945312, 11.939743041992188, 11.939743041992188, 11.939743041992188, 11.939735412597656, 11.939735412597656, 11.939735412597656, 11.939735412597656, 11.939735412597656, 11.939727783203125, 11.939727783203125, 11.939727783203125, 11.939727783203125, 11.939727783203125, 11.939720153808594, 11.939716339111328, 11.939716339111328, 11.939716339111328, 11.939716339111328, 11.939704895019531, 11.939704895019531, 11.886112213134766, 11.830570220947266, 11.830329895019531, 11.830318450927734, 11.830558776855469, 11.830558776855469, 11.830558776855469, 11.830558776855469, 11.830551147460938, 11.830551147460938, 11.830791473388672, 11.830791473388672, 11.830791473388672, 11.83078384399414, 11.83078384399414, 11.83078384399414, 11.83078384399414, 11.830772399902344, 11.830764770507812, 11.831245422363281, 11.831077575683594, 11.831077575683594, 11.831077575683594, 11.831069946289062, 11.831310272216797, 11.831310272216797, 11.831310272216797, 11.831550598144531, 11.83154296875, 11.831783294677734, 11.831783294677734, 11.831783294677734, 11.831783294677734, 11.831771850585938, 11.831771850585938, 11.847633361816406, 12.00937271118164, 12.013721466064453, 12.015907287597656, 12.12381362915039, 12.232677459716797, 12.33169174194336]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.30205297470093,36,73618763776,435686,12.114599545796713,"[10.974594116210938, 11.49069595336914, 11.953056335449219, 12.03921127319336, 12.044010162353516, 12.048568725585938, 12.05313491821289, 12.058387756347656, 12.063194274902344, 12.068000793457031, 12.072795867919922, 12.077362060546875, 12.082168579101562, 12.087215423583984, 12.092021942138672, 12.096817016601562, 12.101863861083984, 12.10715103149414, 12.111717224121094, 12.116523742675781, 12.121322631835938, 12.127090454101562, 12.131416320800781, 12.136459350585938, 12.14102554321289, 12.145820617675781, 12.150627136230469, 12.155193328857422, 12.160480499267578, 12.1962890625, 12.313148498535156, 12.291030883789062, 12.44503402709961, 12.539470672607422, 12.637996673583984, 12.694686889648438]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.45494318008423,36,73618763776,435686,12.27389038933648,"[11.352828979492188, 11.87698745727539, 12.288772583007812, 12.288761138916016, 12.288761138916016, 12.28900146484375, 12.28900146484375, 12.28900146484375, 12.289234161376953, 12.289474487304688, 12.289714813232422, 12.289714813232422, 12.289714813232422, 12.289947509765625, 12.29018783569336, 12.29018783569336, 12.29018783569336, 12.29018783569336, 12.290176391601562, 12.290176391601562, 12.290416717529297, 12.290416717529297, 12.290416717529297, 12.290409088134766, 12.27310562133789, 12.253395080566406, 12.253154754638672, 12.253154754638672, 12.25314712524414, 12.303375244140625, 12.273483276367188, 12.258583068847656, 12.398380279541016, 12.4947509765625, 12.592082977294922, 12.649761199951172]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,35.77120900154114,36,73618763776,435686,12.224181038992745,"[11.312763214111328, 11.836917877197266, 12.252147674560547, 12.252601623535156, 12.252601623535156, 12.252601623535156, 12.252593994140625, 12.252593994140625, 12.25283432006836, 12.25283432006836, 12.252593994140625, 12.252582550048828, 12.234798431396484, 12.214370727539062, 12.214370727539062, 12.214370727539062, 12.214370727539062, 12.214363098144531, 12.214363098144531, 12.214591979980469, 12.214591979980469, 12.214584350585938, 12.215019226074219, 12.215545654296875, 12.215545654296875, 12.215545654296875, 12.215545654296875, 12.215538024902344, 12.215538024902344, 12.235725402832031, 12.296390533447266, 12.358627319335938, 12.47494125366211, 12.514656066894531, 12.61727523803711]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.57788944244385,36,73618763776,435686,12.247775713602701,"[11.330833435058594, 11.862804412841797, 12.26632308959961, 12.266563415527344, 12.266563415527344, 12.26584243774414, 12.266075134277344, 12.266300201416016, 12.266300201416016, 12.266300201416016, 12.266300201416016, 12.266288757324219, 12.266288757324219, 12.266048431396484, 12.266288757324219, 12.266277313232422, 12.256183624267578, 12.233112335205078, 12.23263168334961, 12.23263168334961, 12.23309326171875, 12.233085632324219, 12.233085632324219, 12.233085632324219, 12.233085632324219, 12.233085632324219, 12.233070373535156, 12.233070373535156, 12.233070373535156, 12.270561218261719, 12.248451232910156, 12.292423248291016, 12.399127960205078, 12.495979309082031, 12.590660095214844, 12.649032592773438]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.631635904312134,36,73618763776,435686,12.236943033006456,"[11.315818786621094, 11.839736938476562, 12.251056671142578, 12.249614715576172, 12.249614715576172, 12.249614715576172, 12.249603271484375, 12.249595642089844, 12.24957275390625, 12.24936294555664, 12.249603271484375, 12.249603271484375, 12.249595642089844, 12.249595642089844, 12.249595642089844, 12.249832153320312, 12.249832153320312, 12.249832153320312, 12.249824523925781, 12.249824523925781, 12.249824523925781, 12.249824523925781, 12.249103546142578, 12.249095916748047, 12.223861694335938, 12.223861694335938, 12.223861694335938, 12.223854064941406, 12.22385025024414, 12.2373046875, 12.289318084716797, 12.258106231689453, 12.358802795410156, 12.442184448242188, 12.528461456298828, 12.647903442382812]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
