engine,vox_per_chunk,time
serial,1,159.98990082740784
ray,8,115.61749315261841
dask,8,431.52689599990845
ray,16,64.24967002868652
dask,16,433.42422890663147
ray,32,190.8341760635376
dask,32,407.7728021144867
ray,64,38.54559516906738
dask,64,417.53410935401917
ray,128,35.64945602416992
dask,128,403.310950756073
ray,256,15.097957849502563
dask,256,405.906277179718
ray,512,14.218132972717285
dask,512,421.8790330886841
ray,1024,13.601891994476318
dask,1024,416.3090410232544
ray,2048,13.69532299041748
dask,2048,395.63483810424805
ray,4096,14.164122819900513
dask,4096,397.1252028942108
ray,8192,14.635096788406372
dask,8192,375.47884583473206
ray,16384,14.306122064590454
dask,16384,374.26865005493164
ray,32768,16.75919508934021
dask,32768,343.26947593688965
ray,65536,16.42675471305847
dask,65536,324.7732672691345
serial,1,145.7012882232666
ray,8,120.16741609573364
dask,8,513.8392288684845
ray,16,66.0257921218872
dask,16,500.2173402309418
ray,32,42.055704832077026
dask,32,457.51288509368896
ray,64,71.70730590820312
dask,64,467.2866950035095
ray,128,16.99943780899048
dask,128,463.60335898399353
ray,256,14.984622716903687
dask,256,461.0775628089905
ray,512,14.190562009811401
dask,512,471.7115910053253
ray,1024,13.519225120544434
dask,1024,470.24663186073303
ray,2048,13.748326063156128
dask,2048,473.68756198883057
ray,4096,13.89245891571045
dask,4096,463.9525697231293
ray,8192,14.678544044494629
dask,8192,440.6825442314148
ray,16384,14.634644031524658
dask,16384,426.8827521800995
ray,32768,17.02685308456421
dask,32768,396.5375609397888
ray,65536,16.20267391204834
dask,65536,387.4375936985016
serial,1,182.13260793685913
ray,8,124.1893560886383
dask,8,525.1793267726898
ray,16,62.40575385093689
dask,16,462.0383598804474
ray,32,33.00006294250488
dask,32,464.0947091579437
ray,64,732.5072820186615
dask,64,432.3204369544983
ray,128,16.944174766540527
dask,128,417.21109199523926
ray,256,14.99215316772461
dask,256,420.62436604499817
ray,512,14.127494096755981
dask,512,406.4184048175812
ray,1024,13.488823890686035
dask,1024,421.17583203315735
ray,2048,13.508503913879395
dask,2048,415.37279510498047
ray,4096,14.016576051712036
dask,4096,410.29416608810425
ray,8192,14.771867752075195
dask,8192,398.72481322288513
ray,16384,14.65243411064148
dask,16384,415.2401671409607
ray,32768,16.720527172088623
dask,32768,369.3315269947052
ray,65536,16.106666803359985
dask,65536,354.36183309555054
serial,1,242.0027940273285
ray,8,120.95533895492554
dask,8,400.9035441875458
ray,16,144.24963092803955
dask,16,437.40748715400696
ray,32,59.58474898338318
dask,32,405.30026602745056
ray,64,24.74413514137268
dask,64,398.57145404815674
ray,128,17.14447808265686
dask,128,397.8407561779022
ray,256,15.566347122192383
dask,256,380.1494138240814
ray,512,14.49851393699646
dask,512,398.46066403388977
ray,1024,13.645804166793823
dask,1024,382.3637058734894
ray,2048,13.770529985427856
dask,2048,395.63939094543457
ray,4096,14.041810989379883
dask,4096,396.4628920555115
ray,8192,14.69122314453125
dask,8192,372.3519113063812
ray,16384,14.543154001235962
dask,16384,362.97961497306824
ray,32768,17.15037226676941
dask,32768,341.29404497146606
ray,65536,16.1875901222229
dask,65536,332.3796398639679
serial,1,196.46239805221558
ray,8,125.62700176239014
dask,8,454.8526780605316
ray,16,63.03725504875183
dask,16,416.3980128765106
ray,32,308.75857400894165
dask,32,413.358030796051
ray,64,108.28857588768005
dask,64,402.8827049732208
ray,128,56.69544696807861
dask,128,380.2856538295746
ray,256,15.124519109725952
dask,256,382.281222820282
ray,512,14.28022575378418
dask,512,383.9901659488678
ray,1024,13.485271215438843
dask,1024,376.3543539047241
ray,2048,13.674744129180908
dask,2048,375.6236562728882
ray,4096,14.61043405532837
dask,4096,374.724463224411
ray,8192,14.726091146469116
dask,8192,363.520525932312
